		Jaccard	Semantic	event
HOG:0003123	HOG:0003123	1.0	279.77387146097425	3123-loss
HOG:0002813	HOG:0002813	1.0	406.85006704469754	3123-gain-presence
HOG:0002813	HOG:0002858	1.0	173.23824994396608	3123-gain-presence
HOG:0002813	HOG:0003123	1.0	131.46246286273487	3123-gain-presence
HOG:0002813	HOG:0003270	1.0	102.47732603691476	3123-gain-presence
HOG:0002813	HOG:0003298	1.0	74.84868880128032	3123-gain-presence
HOG:0002813	HOG:0003334	1.0	68.16138791657575	3123-gain-presence
HOG:0002813	HOG:0003379	0.828125	116.1031190824315	3123-gain-presence
HOG:0002813	HOG:0003399	1.0	121.81578214777515	3123-gain-presence
HOG:0002813	HOG:0003442	1.0	25.561237786985544	3123-gain-presence
HOG:0002813	HOG:0003501	0.734375	21.961380664814754	3123-gain-presence
HOG:0002858	HOG:0002813	1.0	257.7786838168602	3123-gain-presence
HOG:0002858	HOG:0002858	1.0	321.7191219223131	3123-gain-presence
HOG:0002858	HOG:0003123	1.0	129.72673025329635	3123-gain-presence
HOG:0002858	HOG:0003270	1.0	100.97071599069113	3123-gain-presence
HOG:0002858	HOG:0003298	1.0	152.92134157698607	3123-gain-presence
HOG:0002858	HOG:0003334	1.0	68.16138791657575	3123-gain-presence
HOG:0002858	HOG:0003379	0.828125	145.2678504438779	3123-gain-presence
HOG:0002858	HOG:0003399	1.0	104.86883174271618	3123-gain-presence
HOG:0002858	HOG:0003442	1.0	24.78296036427212	3123-gain-presence
HOG:0002858	HOG:0003501	0.734375	21.425509104016623	3123-gain-presence
HOG:0003123	HOG:0002813	1.0	204.2340882701383	3123-gain-presence
HOG:0003123	HOG:0002858	1.0	146.16124686967743	3123-gain-presence
HOG:0003123	HOG:0003123	1.0	279.77387146097425	3123-gain-presence
HOG:0003123	HOG:0003270	1.0	101.47146248416071	3123-gain-presence
HOG:0003123	HOG:0003298	1.0	74.84868880128032	3123-gain-presence
HOG:0003123	HOG:0003334	1.0	97.15137147369155	3123-gain-presence
HOG:0003123	HOG:0003379	0.828125	95.84413094806943	3123-gain-presence
HOG:0003123	HOG:0003399	1.0	83.34405528083788	3123-gain-presence
HOG:0003123	HOG:0003442	1.0	25.03170256651804	3123-gain-presence
HOG:0003123	HOG:0003501	0.734375	24.64946546207424	3123-gain-presence
HOG:0003270	HOG:0002813	1.0	177.40209058550937	3123-gain-presence
