		Jaccard	Semantic	event
HOG:0017152	HOG:0017152	1.0	280.41374688928653	17152-gain-loss
HOG:0017152	HOG:0017152	1.0	280.41374688928653	17152-duplication-gain-loss
HOG:0015353	HOG:0015353	1.0	0.0	17152-gain-presence
HOG:0015353	HOG:0015523	0.5859375	128.49358536296836	17152-gain-presence
HOG:0015353	HOG:0016026	0.65625	91.15656596092033	17152-gain-presence
HOG:0015353	HOG:0016203	0.5390625	92.65948697782258	17152-gain-presence
HOG:0015353	HOG:0016839	0.4765625	161.60911346761173	17152-gain-presence
HOG:0015353	HOG:0016968	0.578125	119.94220587601255	17152-gain-presence
HOG:0015353	HOG:0017152	0.4296875	148.62666899229782	17152-gain-presence
HOG:0015353	HOG:0017544	0.375	126.5865973354278	17152-gain-presence
HOG:0015353	HOG:0017655	0.375	19.40790018343221	17152-gain-presence
HOG:0015523	HOG:0015353	0.5859375	99.2423985773985	17152-gain-presence
HOG:0015523	HOG:0015523	1.0	154.53479026596113	17152-gain-presence
HOG:0015523	HOG:0016026	0.5234375	78.39049306455406	17152-gain-presence
HOG:0015523	HOG:0016203	0.515625	92.65948697782258	17152-gain-presence
HOG:0015523	HOG:0016839	0.5546875	160.16039175449868	17152-gain-presence
HOG:0015523	HOG:0016968	0.71875	119.49878665415739	17152-gain-presence
HOG:0015523	HOG:0017152	0.453125	140.6584403312576	17152-gain-presence
HOG:0015523	HOG:0017544	0.4140625	120.13935572354873	17152-gain-presence
HOG:0015523	HOG:0017655	0.40625	18.25120927311139	17152-gain-presence
HOG:0016026	HOG:0015353	0.65625	93.2048501317688	17152-gain-presence
HOG:0016026	HOG:0015523	0.5234375	97.26013694401115	17152-gain-presence
HOG:0016026	HOG:0016026	1.0	154.77973728812267	17152-gain-presence
HOG:0016026	HOG:0016203	0.453125	89.86839508660849	17152-gain-presence
HOG:0016026	HOG:0016839	0.46875	160.9118231163525	17152-gain-presence
HOG:0016026	HOG:0016968	0.5390625	117.4166625050661	17152-gain-presence
HOG:0016026	HOG:0017152	0.4453125	173.79141684392064	17152-gain-presence
HOG:0016026	HOG:0017544	0.28125	133.73299299496915	17152-gain-presence
HOG:0016026	HOG:0017655	0.3125	19.750523907407768	17152-gain-presence
HOG:0016203	HOG:0015353	0.5390625	77.45055049456619	17152-gain-presence
HOG:0016203	HOG:0015523	0.515625	100.2787020874048	17152-gain-presence
HOG:0016203	HOG:0016026	0.453125	78.39049306455406	17152-gain-presence
HOG:0016203	HOG:0016203	1.0	92.65948697782258	17152-gain-presence
HOG:0016203	HOG:0016839	0.578125	157.9798144781122	17152-gain-presence
HOG:0016203	HOG:0016968	0.671875	119.49878665415739	17152-gain-presence
HOG:0016203	HOG:0017152	0.578125	123.72448097496125	17152-gain-presence
HOG:0016203	HOG:0017544	0.484375	113.30692810681911	17152-gain-presence
HOG:0016203	HOG:0017655	0.5	18.25120927311139	17152-gain-presence
HOG:0016839	HOG:0015353	0.4765625	85.92075763852695	17152-gain-presence
HOG:0016839	HOG:0015523	0.5546875	102.1178415824994	17152-gain-presence
HOG:0016839	HOG:0016026	0.46875	87.71147474195115	17152-gain-presence
HOG:0016839	HOG:0016203	0.578125	81.54621491669542	17152-gain-presence
HOG:0016839	HOG:0016839	1.0	322.03261818964705	17152-gain-presence
HOG:0016839	HOG:0016968	0.5390625	105.16649785808308	17152-gain-presence
HOG:0016839	HOG:0017152	0.6171875	140.00955952438846	17152-gain-presence
HOG:0016839	HOG:0017544	0.453125	118.83011408260447	17152-gain-presence
HOG:0016839	HOG:0017655	0.4375	19.871769424143235	17152-gain-presence
HOG:0016968	HOG:0015353	0.578125	79.59898814368377	17152-gain-presence
HOG:0016968	HOG:0015523	0.71875	100.2787020874048	17152-gain-presence
HOG:0016968	HOG:0016026	0.5390625	82.35587800217046	17152-gain-presence
HOG:0016968	HOG:0016203	0.671875	92.65948697782258	17152-gain-presence
HOG:0016968	HOG:0016839	0.5390625	157.9798144781122	17152-gain-presence
HOG:0016968	HOG:0016968	1.0	125.96513243649524	17152-gain-presence
HOG:0016968	HOG:0017152	0.46875	140.63347449222306	17152-gain-presence
HOG:0016968	HOG:0017544	0.3828125	120.51353592865658	17152-gain-presence
HOG:0016968	HOG:0017655	0.3984375	19.790824717622577	17152-gain-presence
HOG:0017152	HOG:0015353	0.4296875	93.87547921488097	17152-gain-presence
HOG:0017152	HOG:0015523	0.453125	118.42671122502999	17152-gain-presence
HOG:0017152	HOG:0016026	0.4453125	147.67970211942554	17152-gain-presence
HOG:0017152	HOG:0016203	0.578125	90.80146866039276	17152-gain-presence
HOG:0017152	HOG:0016839	0.6171875	161.27898513436995	17152-gain-presence
HOG:0017152	HOG:0016968	0.46875	120.33311540499207	17152-gain-presence
HOG:0017152	HOG:0017152	1.0	280.41374688928653	17152-gain-presence
HOG:0017152	HOG:0017544	0.53125	211.79958049287438	17152-gain-presence
HOG:0017152	HOG:0017655	0.71875	23.293801327491146	17152-gain-presence
HOG:0017544	HOG:0015353	0.375	91.03731815670113	17152-gain-presence
HOG:0017544	HOG:0015523	0.4140625	114.86792037243895	17152-gain-presence
HOG:0017544	HOG:0016026	0.28125	98.52304262422705	17152-gain-presence
HOG:0017544	HOG:0016203	0.484375	92.64926787707671	17152-gain-presence
HOG:0017544	HOG:0016839	0.453125	161.09340402993146	17152-gain-presence
HOG:0017544	HOG:0016968	0.3828125	121.96493147261828	17152-gain-presence
HOG:0017544	HOG:0017152	0.53125	260.23892709918425	17152-gain-presence
HOG:0017544	HOG:0017544	1.0	212.66456650426463	17152-gain-presence
HOG:0017544	HOG:0017655	0.5078125	22.227869880103356	17152-gain-presence
HOG:0017655	HOG:0015353	0.375	79.13242072300052	17152-gain-presence
HOG:0017655	HOG:0015523	0.40625	97.27192821410253	17152-gain-presence
HOG:0017655	HOG:0016026	0.3125	83.06069622160621	17152-gain-presence
HOG:0017655	HOG:0016203	0.5	89.88116896254083	17152-gain-presence
HOG:0017655	HOG:0016839	0.4375	162.9849818526517	17152-gain-presence
HOG:0017655	HOG:0016968	0.3984375	119.0796396395242	17152-gain-presence
HOG:0017655	HOG:0017152	0.71875	153.69980602804813	17152-gain-presence
HOG:0017655	HOG:0017544	0.5078125	130.57325713202633	17152-gain-presence
HOG:0017655	HOG:0017655	1.0	33.31220508602502	17152-gain-presence
HOG:0015353	HOG:0015353	1.0	0.0	17152-duplication-gain-presence
HOG:0015353	HOG:0015523	0.5859375	128.49358536296836	17152-duplication-gain-presence
HOG:0015353	HOG:0015637	0.3984375	19.651960114336337	17152-duplication-gain-presence
HOG:0015353	HOG:0016026	0.65625	91.15656596092033	17152-duplication-gain-presence
HOG:0015353	HOG:0016833	0.4296875	27.302084094018	17152-duplication-gain-presence
HOG:0015353	HOG:0016968	0.578125	119.94220587601255	17152-duplication-gain-presence
HOG:0015353	HOG:0017152	0.4296875	148.62666899229782	17152-duplication-gain-presence
HOG:0015353	HOG:0017655	0.375	19.40790018343221	17152-duplication-gain-presence
HOG:0015523	HOG:0015353	0.5859375	99.2423985773985	17152-duplication-gain-presence
HOG:0015523	HOG:0015523	1.0	154.53479026596113	17152-duplication-gain-presence
HOG:0015523	HOG:0015637	0.4609375	23.634732628911703	17152-duplication-gain-presence
HOG:0015523	HOG:0016026	0.5234375	78.39049306455406	17152-duplication-gain-presence
HOG:0015523	HOG:0016833	0.3046875	22.814011591389235	17152-duplication-gain-presence
HOG:0015523	HOG:0016968	0.71875	119.49878665415739	17152-duplication-gain-presence
HOG:0015523	HOG:0017152	0.453125	140.6584403312576	17152-duplication-gain-presence
HOG:0015523	HOG:0017655	0.40625	18.25120927311139	17152-duplication-gain-presence
HOG:0015637	HOG:0015353	0.3984375	99.2423985773985	17152-duplication-gain-presence
HOG:0015637	HOG:0015523	0.4609375	154.53479026596113	17152-duplication-gain-presence
HOG:0015637	HOG:0015637	1.0	23.634732628911703	17152-duplication-gain-presence
HOG:0015637	HOG:0016026	0.328125	78.39049306455406	17152-duplication-gain-presence
HOG:0015637	HOG:0016833	0.6640625	22.814011591389235	17152-duplication-gain-presence
HOG:0015637	HOG:0016968	0.4609375	119.49878665415739	17152-duplication-gain-presence
HOG:0015637	HOG:0017152	0.6484375	140.6584403312576	17152-duplication-gain-presence
HOG:0015637	HOG:0017655	0.5	18.25120927311139	17152-duplication-gain-presence
HOG:0016026	HOG:0015353	0.65625	93.2048501317688	17152-duplication-gain-presence
HOG:0016026	HOG:0015523	0.5234375	97.26013694401115	17152-duplication-gain-presence
HOG:0016026	HOG:0015637	0.328125	14.72359662743948	17152-duplication-gain-presence
HOG:0016026	HOG:0016026	1.0	154.77973728812267	17152-duplication-gain-presence
